Bench Press	Chest	Triceps, Shoulders	Bench Press, Squat Rack & Bench
Decline Bench Press	Lower Chest	Triceps, Shoulders	Bench Press, Squat Rack & Adjustable Bench
Incline Bench Press	Upper Chest	Triceps, Shoulders	Bench Press, Squat Rack & Adjustable Bench
Close Grip Bench Press	Triceps	Chest, Shoulders	Bench Press, Squat Rack & Bench
Wide Grip Bench Press	Chest	Triceps, Shoulders	Bench Press, Squat Rack & Bench
Shoulder Press	Shoulders	Triceps, Upper Chest, Upper Traps	Bench Press, Barbell, Squat Rack, Dumbbells
Rows	Upper Back	Lower Back, Triceps, Biceps	Bench Press, Barbell, Squat Rack
Deadlifts	Hamstrings	Glutes, Lower Back	Bench Press, Barbell, Squat Rack
Romanian Deadlift	Hamstrings	Glutes, Lower Back	Bench Press, Barbell, Squat Rack, Dumbbells
Front Lat Pulldown	Upper Back	Biceps, Triceps	Lat Pulldown Machine
Pull-Up (Pronated)	Upper Back	Biceps	Pull-Up Bar
Chin-Up (Supinated)	Upper Back	Biceps	Pull-Up Bar
Tricep Pushdown	Triceps		Cable Machine
Skullcrusher	Triceps		Dumbbells, Barbell, Curl Bars
Curls	Biceps		Dumbbells, Cable Machine, Curl Bars
Hammer Curls	Biceps	Forearms	Dumbbells, Cable Machine
Fly	Chest		Dumbbells, Cable Machine, Fly Machine
Reverse Fly	Rear Deltoids	Upper Back	Dumbbells, Cable Machine, Fly Machine
Shrug	Upper Back	Forearms	Dumbbells, Barbell, Squat Rack, Shrug Machine, Bench Press
Lateral Raise	Side Deltoids		Dumbbells, Cable Machine
Front Raise	Front Deltoids		Dumbbells, Cable Machine
Calf Raise	Calves		Calf Raise Machine, Dumbbells, Barbell
Squat	Glutes	Quads, Hamstrings	Squat Rack
Lunge	Quads	Glutes, Hamstrings	Dumbbells, Barbell, Curl Bars 
Bulgarian Split Squat	Quads	Glutes, Hamstrings	Dumbbells, Barbell, Curl Bars
Hip Thrusts	Glutes	Hamstrings	Barbell, Hip Thrust Machine
Quad Extensions	Quads		Quad Extension Machine
Hamstring Curls	Hamstrings		Hamstring Curl Machine
Abductor Machine	Hip Abductor		Hip Abductor Machine
Adductor Machine	Hip Adductor		Hip Adductor Machine
DB Bench Press	Chest	Triceps, Shoulders	Dumbbells & Bench
DB Incline Bench Press	Upper Chest	Triceps, Shoulders	Dumbbells & Bench
DB Decline Bench Press	Lower Chest	Triceps, Shoulders	Dumbbells & Bench
DB Bent Row	Triceps	Lower Back, Upper Back, Biceps	Dumbbells
DB One Arm Row	Triceps	Lower Back, Upper Back, Biceps	Dumbbells
Goblet Squats	Glutes	Quads, Hamstrings	Dumbbells
KB Swing	Glutes	Hamstrings, Lower Back, Quads	Kettlebells
Reverse Curls	Forearms	Biceps	Dumbbells, Curl Bar, Barbell
Face Pulls	Rear Deltoids	Biceps	Cable Machine
Dips	Lower Chest	Triceps	Dip Bar
Wrist Flexion	Forearms		Dumbbells, Curl Bar, Barbell
Wrist Extension	Forearms		Dumbbells, Curl Bar, Barbell
Weighted Neck Extension	Neck		Dumbbells
